ACCURACY,MODEL
0.1666666716337204,cnn_5layer_binary_crossentropy0.1
0.8333333134651184,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.1
0.8333333134651184,cnn_5lyr_rmsprpmean_squared_error0.1
0.8333333134651184,cnn_5lyr_rmsprpbinary_crossentropy0.001
0.8333333134651184,cnn_5layer_squared_logarithmic_error0.01
0.8333333134651184,cnn_5layer_mean_squared_logarithmic_error0.1
0.8333333134651184,cnn_5layer_mean_squared_logarithmic_error0.001
0.8333333134651184,cnn_5layer_mean_squared_error0.01
0.8333333134651184,cnn_5layer_binary_crossentropy0.001
0.8333333134651184,cnn_5layer_binary_crossentropy0.01
0.8333333134651184,cnn_5layer_mean_squared_error0.001
0.8357142806053162,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.01
0.8452380895614624,cnn_5lyr_rmsprpbinary_crossentropy0.01
0.8761904835700989,cnn_5lyr_rmsprpmean_squared_error0.01
0.8928571343421936,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.001
0.8952381014823914,cnn_5layer_mean_squared_error0.1
0.9023809432983398,cnn_5lyr_rmsprpmean_squared_error0.001
0.9095237851142883,cnn_5lyr_rmsprpbinary_crossentropy0.1
